goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkSingleInsertPresentSyncMap-10        	49181083	        24.05 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49525041	        24.04 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	48195513	        24.22 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49175288	        24.09 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49385086	        24.01 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49549921	        24.06 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49595572	        23.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	50500975	        23.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2192215	       572.9 ns/op	     903 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2178724	       587.1 ns/op	     903 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2182236	       593.1 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2189082	       580.1 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2238722	       582.7 ns/op	     903 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2196278	       578.2 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2140288	       583.4 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2167087	       559.9 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2314713	       597.3 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferentSyncMap-10       	 2204182	       567.0 ns/op	     902 B/op	      32 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  853516	      1835 ns/op	     641 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  796318	      1782 ns/op	     386 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  792624	      1814 ns/op	     388 B/op	      13 allocs/op
